City,Cost of Living Index_x,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Crime Index,Safety Index_x,Health Care Index_x,Health Care Exp. Index,Pollution Index_x,Exp Pollution Index,Land area (km2 2011),Growth Rate 2011–2016,Population (2016),Climate Index,Population (2011),Population (2006),Population (2001),Population (1996),Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index,Quality of Life Index,Purchasing Power Index,Safety Index_y,Health Care Index_y,Cost of Living Index_y,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index_y,January - Avg. high °C,January - Avg. low °C,July - Avg. high °C,July - Avg. low °C,Traffic Index,Time Index (in minutes),Time Exp. Index,Inefficiency Index,CO2 Emission Index
Pickering,,,,,,,,,,,,,231.6,3%,91771,,88721.0,87838.0,87139.0,78989.0,,,,,,,,,,,,,,,,,,,,,,,,
Clarington,,,,,,,,,,,,,611.3,9%,92013,,84548.0,7782.0,69834.0,60615.0,,,,,,,,,,,,,,,,,,,,,,,,
Lethbridge,,,,,,,,,,,,,122.4,12%,92729,,83517.0,74637.0,67374.0,63053.0,,,,,,,,,,,,,,,,,,,,,,,,
Cape Breton,,,,,,,,,,,,,2433.4,-3%,94285,,97398.0,10225.0,105968.0,114733.0,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Jean-sur-Richelieu,,,,,,,,,,,,,225.8,3%,95114,,92394.0,87492.0,796.0,76461.0,,,,,,,,,,,,,,,,,,,,,,,,
Brantford,,,,,,,,,,,,,72.5,4%,97496,,9365.0,90192.0,86417.0,86417.0,,,,,,,,,,,,,,,,,,,,,,,,
Strathcona County,,,,,,,,,,,,,1180.6,6%,98044,,9249.0,82511.0,71986.0,64176.0,,,,,,,,,,,,,,,,,,,,,,,,
Red Deer,,,,,,,,,,,,,104.3,11%,100418,,90564.0,82772.0,67829.0,6008.0,9.38,7.28,1.67,13.74,59.81,63.21,1.58,,,,,,,,,,,,,,,,,
Chatham-Kent,,,,,,,,,,,,,2458.1,-2%,101647,,103671.0,108177.0,107341.0,10995.0,,,,,,,,,,,,,,,,,,,,,,,,
Delta,,,,,,,,,,,,,180.1,2%,102238,,99863.0,96723.0,9695.0,95411.0,,,,,,,,,,,,,,,,,,,,,,,,
Waterloo,,,,,,,26.64,73.36,,,,,64.0,6%,104986,,9878.0,97475.0,86543.0,77949.0,5.56,6.8,7.2,14.7,13.89,36.91,2.71,,,,,,,,,,,,,,,,,
Thunder Bay,,,,,,,,,,,,,328.2,0%,107909,,108359.0,10914.0,109016.0,113662.0,11.37,3.21,2.14,31.14,46.64,80.11,1.25,,,,,,,,,,,,,,,,,
Milton,,,,,,,,,,,,,363.2,31%,110128,,84362.0,53939.0,31471.0,32104.0,,,,,,,,,,,,,,,,,,,,,,,,
Terrebonne,,,,,,,,,,,,,154.7,5%,111575,,106322.0,94703.0,80536.0,75116.0,,,,,,,,,,,,,,,,,,,,,,,,
Saanich,,,,,,,,,,,,,103.8,4%,114148,,109752.0,108265.0,103654.0,101388.0,,,,,,,,,,,,,,,,,,,,,,,,
Langley,,,,,,,,,,,,,308.0,13%,117285,,104177.0,93726.0,86896.0,80179.0,,,,,,,,,,,,,,,,,,,,,,,,
Ajax,,,,,,,,,,,,,67.1,9%,119677,,1096.0,90167.0,73753.0,6443.0,,,,,,,,,,,,,,,,,,,,,,,,
Kingston,,,,,,,,,,,,,451.2,0%,123798,,123363.0,117207.0,114195.0,112605.0,10.7,3.69,3.47,27.08,28.81,76.61,1.31,,,,,,,,,,,,,,,,,
Whitby,,,,,,,,,,,,,146.5,5%,128377,,122022.0,111184.0,87413.0,73794.0,,,,,,,,,,,,,,,,,,,,,,,,
Guelph,,,,,,,,,,,,,87.2,8%,131794,,121688.0,114943.0,10617.0,95821.0,5.14,6.32,6.24,15.83,16.04,33.4,2.99,,,,,,,,,,,,,,,,,
St. Catharines,,,,,,,,,,,,,96.1,1%,133113,,1314.0,131989.0,12917.0,130926.0,,,,,,,,,,,,,,,,,,,,,,,,
Trois-Rivières,,,,,,,,,,,,,288.9,2%,134413,,131338.0,126323.0,122395.0,124417.0,,,,,,,,,,,,,,,,,,,,,,,,
Coquitlam,62.9,36.54,50.27,61.46,55.8,107.65,,,,,,,122.3,10%,139284,,126456.0,114565.0,11289.0,10182.0,11.48,3.72,04.02,26.91,24.87,78.61,1.27,,,,,,,,,,,,,,,,,
Abbotsford,,,,,,,,,,,,,375.6,6%,141397,,133497.0,123864.0,115494.0,105403.0,6.54,6.58,4.95,15.19,20.2,45.22,2.21,,,,,,,,,,,,,,,,,
Barrie,,,,,,,,,,,,,77.4,4%,141434,,135711.0,12843.0,10371.0,79191.0,,,,,,,,,,,,,,,,,,,,,,,,
Lévis,,,,,,,,,,,,,449.3,3%,143414,,138769.0,130006.0,121999.0,10375.0,,,,,,,,,,,,,,,,,,,,,,,,
Saguenay,,,,,,,,,,,,,1126.5,1%,145949,,144746.0,143692.0,147133.0,152811.0,,,,,,,,,,,,,,,,,,,,,,,,
Oshawa,,,,,,,,,,,,,145.7,7%,159458,,149607.0,14159.0,139051.0,134464.0,4.14,7.42,9.51,13.48,10.52,28.26,3.54,,,,,,,,,,,,,,,,,
Sherbrooke,,,,,,,,,,,,,353.5,4%,161323,,154601.0,147427.0,138785.0,136883.0,,,,,,,,,,,,,,,,,,,,,,,,
Greater Sudbury,,,,,,,,,,,,,3227.4,1%,161531,,160274.0,157857.0,155219.0,165336.0,,,,,,,,,,,,,,,,,,,,,,,,
Burlington,,,,,,,,,,,,,185.7,4%,183314,,175779.0,164415.0,150836.0,136976.0,8.19,4.95,4.39,20.21,22.8,56.28,1.78,,,,,,,,,,,,,,,,,
Oakville,,,,,,,,,,,,,138.9,6%,193832,,18252.0,165613.0,144738.0,128405.0,,,,,,,,,,,,,,,,,,,,,,,,
Richmond Hill,,,,,,,,,,,,,101.0,5%,195022,,185541.0,162704.0,13203.0,101725.0,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,,,,,,,,,,,,,129.3,4%,198309,,190473.0,174461.0,164345.0,148867.0,,,,,,,,,,,,,,,,,,,,,,,,
Windsor,,,,,,,,,,,,,146.3,3%,217188,,210891.0,216473.0,209218.0,197694.0,6.85,3.94,4.28,25.35,23.39,47.39,2.11,,,,,,,,,−0.3,−7.3,28.1,17.9,,,,,
Burnaby,,,,,,,,,,,,,90.6,4%,232755,,223218.0,202799.0,193954.0,179209.0,10.37,3.36,04.02,29.77,24.87,70.84,1.41,,,,,,,,,,,,,,,,,
Kitchener,58.22,25.78,42.68,51.79,58.61,118.58,39.72,60.28,64.54,121.07,,,136.8,6%,233222,,219153.0,204668.0,190399.0,17842.0,4.81,6.51,7.59,15.36,13.18,32.25,3.1,,,,,,,,,,,,,,,,,
Saskatoon,72.8,24.14,49.49,72.86,65.48,100.82,49.13,50.87,66.73,121.04,,,209.6,11%,246376,,222189.0,20234.0,196861.0,193653.0,4.52,6.93,7.17,14.43,13.95,31.59,3.17,,,,,,,,,−10.1,−20.7,25.3,11.6,,,,,
Gatineau,,,,,,,,,,,,,343.0,4%,276245,,265349.0,242124.0,226696.0,217591.0,,,,,,,,,,,,,,,,,,,,,,,,
Vaughan,,,,,,,,,,,,,273.5,6%,306233,,288301.0,238866.0,182022.0,132549.0,,,,,,,,,,,,,,,,,,,,,,,,
Markham,,,,,,,,,,,,,212.6,9%,328966,,301709.0,261573.0,208615.0,173383.0,,,,,,,,,,,,,,,,,,,,,,,,
London,56.99,22.62,40.52,48.93,59.98,116.89,46.39,53.61,65.85,120.73,,,420.6,5%,383822,,366151.0,352395.0,336539.0,325669.0,4.27,7.68,7.15,13.03,13.99,28.65,3.49,,,,,,,,,,,,,,,,,
Laval,,,,,,,,,,,,,247.1,5%,422993,,401553.0,368709.0,343005.0,330393.0,,,,,,,,,,,,,,,,,,,,,,,,
Surrey,,,,,,,62.68,37.32,,,,,316.4,11%,517887,,468251.0,394976.0,34782.0,304477.0,13.28,3.1,4.32,32.26,23.12,88.61,1.13,,,,,,,,,,,,,,,,,
Brampton,,,,,,,,,,,,,266.3,13%,593638,,523911.0,433806.0,325428.0,268251.0,6.72,6.12,6.96,16.34,14.37,47.89,02.09,,,,,,,,,,,,,,,,,
Alberton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−3.9,−12.5,23.2,14.1,,,,,
Baie-Comeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−8.7,−19.9,20.9,10.3,,,,,
Baker Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−27.7,−34.8,17.0,6.1,,,,,
Charlottetown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−3.4,−12.1,23.3,14.1,,,,,
Churchill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−21.9,−30.1,18.0,7.3,,,,,
Corner Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−2.7,−9.6,22.0,12.6,,,,,
Dawson City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−21.8,−30.1,23.1,8.2,,,,,
Edmundston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−7.1,−18.5,24.7,11.5,,,,,
Fort Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−16.1,−24.6,23.2,10.9,,,,,
High Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−15.0,−25.8,23.0,9.9,,,,,
Inuvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−22.8,−31.0,19.5,8.6,,,,,
Iqaluit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−22.8,−30.9,12.3,4.1,,,,,
Kugluktuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−23.2,−31.4,15.6,6.1,,,,,
La Ronge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−13.4,−24.2,23.5,11.5,,,,,
Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−18.0,−28.2,22.8,9.4,,,,,
Nain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−13.5,−21.6,14.9,5.3,,,,,
"Nanaimo, BC",,,,,,,,,,,,,,,,,,,,,5.47,7.86,6.86,12.72,14.59,40.32,2.48,,,,,,,,,,,,,,,,,
Norman Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−22.2,−29.9,22.5,11.5,,,,,
Resolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−28.6,−35.3,7.3,1.7,,,,,
"St. John's, NL",,,,,,,,,,,,,,,,,,,,,7.21,4.87,5.11,20.54,19.57,48.84,02.05,,,,,,,,,,,,,,,,,
St.Catharines,,,,,,,,,,,,,,,,,,,,,3.92,8.56,9.67,11.69,10.35,26.29,3.8,,,,,,,,,,,,,,,,,
Summerside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−3.2,−12.1,23.8,14.6,,,,,
Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−1.1,−9.6,23.1,12.6,,,,,
Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−18.3,−29.3,23.1,9.1,,,,,
Timmins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−10.6,−23.0,24.2,10.7,,,,,
Whitehorse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−11.0,−19.2,20.6,8.0,,,,,
Yarmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,−6.9,20.9,12.7,,,,,
Yellowknife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−21.6,−29.5,21.3,12.6,,,,,
